year,co2
1981,18787122618
1982,18624075692
1983,18549448038
1984,19216866047
1985,19792621843
1986,20395949534
1987,20912413491
1988,21681109322
1989,22154335730
1990,22181807367
1991,22429377426
1992,22195105131
1993,22153143108
1994,22533832969
1995,23007425377
1996,23522979106
1997,23915329404
1998,23984983896
1999,23930561468
2000,24558691083
2001,25137999688
2002,25494190555
2003,26866738381
2004,28187598935
2005,29254906351
2006,30286836386
2007,30880145296
2008,31875755797
2009,31523142973
2010,33066651212
2011,34357365920
2012,34919288710
2013,35207885978
2014,35505827039
2015,35462746737
2016,35675099439
2017,36153261645
