year,co2,emissions
1751,9350528,
1752,9354192,277.23
1753,9354192,
1754,9357856,
1755,9361520,
1756,10006384,
1757,10010048,
1758,10013712,
1759,10017376,
1760,10017376,
1761,10973680,
1762,10977344,
1763,10981008,277.16
1764,10984672,276.4
1765,10988336,
1766,12259744,
1767,12263408,
1768,12267072,
1769,12270736,
1770,12274400,
1771,13611760,
1772,13615424,
1773,13619088,277.86
1774,13622752,
1775,13626416,
1776,15037056,
1777,15040720,
1778,15044384,
1779,15048048,280.24
1780,15055376,273.07
1781,16843408,
1782,16847072,
1783,16854400,
1784,16858064,
1785,16869056,
1786,19151728,
1787,19159056,
1788,19162720,
1789,19170048,
1790,19177376,
1791,21419744,
1792,21896064,
1793,21914384,
1794,21881408,281.62
1795,21892400,
1796,22951296,281.35
1797,24094464,
1798,25094736,
1799,26428432,282.8
1800,28091888,
1801,27959984,
1802,36782896,
1803,31488416,
1804,34309696,
1805,33419344,
1806,35046160,
1807,36874496,
1808,35064480,
1809,35090128,
1810,37380128,
1811,39582192,
1812,41007488,
1813,41220000,
1814,42128672,284.43
1815,43488016,
1816,47664976,
1817,49431024,
1818,49643536,
1819,49947648,
1820,50687776,
1821,51435232,
1822,53465088,
1823,56550176,
1824,58525072,
1825,60756448,281.36
1826,61419632,
1827,65915360,285.91
1828,66637168,
1829,66395344,
1830,89123136,
1831,84528480,
1832,85111056,
1833,86807488,284.45
1834,88485600,
1835,90445840,
1836,104775744,
1837,104691472,284.15
1838,108044032,
1839,111612768,
1840,118929776,
1841,122619424,283.65
1842,129504080,
1843,132852976,281.58
1844,141423072,283.53
1845,155210704,283.18
1846,157793824,283.62
1847,172402192,286.84
1848,173816496,
1849,183511440,
1850,196896032,284
1851,198742688,287.13
1852,207495984,
1853,217099328,
1854,255010736,288.05
1855,260034080,285.57
1856,277108320,
1857,279680448,283.16
1858,283967328,
1859,301001264,286.63
1860,330708976,
1861,347786880,
1862,354114608,287.17
1863,377923280,285.35
1864,407151008,286.65
1865,432366656,
1866,446037040,
1867,477814912,285.05
1868,490752496,288.76
1869,521130720,
1870,532536752,287.16
1871,566142960,
1872,626371792,
1873,665419040,286.66
1874,622997248,291.56
1875,675799152,
1876,685552720,
1877,699098528,289.33
1878,704565216,
1879,755036816,
1880,853891536,287.77
1881,882587984,
1882,932128928,
1883,991273216,292.46
1884,1002430096,289.49
1885,1009908320,
1886,1025729472,288.12
1887,1077043792,294.34
1888,1192584368,
1889,1192155680,292.34
1890,1298855024,290.92
1891,1359300032,
1892,1370541184,295.17
1893,1354137456,295.09
1894,1401373744,293.49
1895,1485920544,
1896,1534406256,
1897,1607045056,
1898,1695109296,
1899,1851825904,296.16
1900,1953307712,294.22
1901,2017969984,
1902,2069097440,295.61
1903,2257269488,
1904,2281224720,295.99
1905,2428667744,299.02
1906,2550865808,298.48
1907,2884659872,
1908,2775703504,
1909,2885293744,301.5
1910,3026016992,297.87
1911,3081237136,298.36
1912,3226719920,
1913,3491363312,301.3
1914,3168077600,300.7
1915,3125157504,
1916,3372323616,301.92
1917,3528377040,
1918,3480686416,303.85
1919,3016640816,304.61
1920,3507613152,301.88
1921,3077712368,
1922,3227269520,
1923,3661713664,304.69
1924,3673299232,
1925,3699225696,304.84
1926,3641924400,
1927,3977378256,
1928,3991121920,306.84
1929,4290749184,305.62
1930,3965451936,
1931,3542868160,305.74
1932,3196286736,308.26
1933,3365596512,307.11
1934,3661548784,308.35
1935,3846511168,306.32
1936,4223676000,308.3
1937,4522870912,307.41
1938,4264888672,311.07
1939,4503129280,310.83
1940,4904007520,310.38
1941,5024655712,309.77
1942,5039974896,312.37
1943,5216282912,
1944,5181123168,312.36
1945,4333394480,310.94
1946,4730660016,312.26
1947,5236563152,311.61
1948,5505427472,311.57
1949,5244854784,309.69
1950,5786141168,312.83
1951,6226396416,
1952,6310375296,312.18
1953,6486280272,
1954,6629183600,312.73
1955,7258204464,314.71
1956,7725118976,315.34
1957,7964755568,315.34
1958,8215483088,315.34
1959,8989176487,315.97
1960,9410529753,316.91
1961,9452107735,317.64
1962,9838202053,318.45
1963,10379067957,318.99
1964,10969325141,319.62
1965,11466150222,320.04
1966,12045555868,321.38
1967,12431009376,322.16
1968,13063449642,323.04
1969,13846427335,324.62
1970,14845814983,325.68
1971,15409717552,326.32
1972,16023990774,327.45
1973,16893361429,329.68
1974,16923578710,330.18
1975,16825640953,331.11
1976,17800972415,332.04
1977,18355439225,333.83
1978,18561698852,335.4
1979,19594228807,336.84
1980,19388094366,338.75
1981,18787122618,340.11
1982,18624075692,341.45
1983,18549448038,343.05
1984,19216866047,344.65
1985,19792621843,346.12
1986,20395949534,347.42
1987,20912413491,349.19
1988,21681109322,351.57
1989,22154335730,353.12
1990,22181807367,354.39
1991,22429377426,355.61
1992,22195105131,356.45
1993,22153143108,357.1
1994,22533832969,358.83
1995,23007425377,360.82
1996,23522979106,362.61
1997,23915329404,363.73
1998,23984983896,366.7
1999,23930561468,368.38
2000,24558691083,369.55
2001,25137999688,371.14
2002,25494190555,373.28
2003,26866738381,375.8
2004,28187598935,377.52
2005,29254906351,379.8
2006,30286836386,381.9
2007,30880145296,383.79
2008,31875755797,385.6
2009,31523142973,387.43
2010,33066651212,389.9
2011,34357365920,391.65
2012,34919288710,393.85
2013,35207885978,396.52
2014,35505827039,398.65
2015,35462746737,400.83
2016,35675099439,404.24
2017,36153261645,406.55
2018,,408.52
